word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion
sorrowfully,1.32527426765,1.24985851515,1.48158346563,1.28660973531
regretful,1.22162975646,1.06184517076,1.28523188736,1.17727399838
sepulchral,1.46658550836,1.54246873308,1.58597791874,1.47528037842
unsmiling,1.37630000895,1.40543936464,1.40346134139,1.41937275041
funereal,1.47316375719,1.4283983631,1.51192518495,1.4274009022
joyless,1.3323468661,1.23498848016,1.40765577821,1.33302998446
bored,1.15222590708,1.09476242589,1.24668528846,1.16257509014
tired,1.1536747578,1.00144377305,1.21884561381,1.16207153163
gloomy,1.02258300172,0.9582396184,1.14613707943,1.00835403524
disconsolate,1.1797904573,1.09916313624,1.23874425993,1.27759956031
soiled,1.33172494974,1.20138706954,1.38636795451,1.35808907043
blue,1.54976190567,1.65607303587,1.66336073612,1.57146189078
dismal,1.30899917318,1.20901970322,1.33294956506,1.23132237928
cheerless,1.38477339001,1.28683871816,1.356380252,1.35218055702
somber,1.01702550158,1.09333401197,1.19078201634,1.07871694309
dingy,1.35654634543,1.28672060153,1.37950237184,1.38058462442
dejected,1.15466591192,1.08159034532,1.31409946313,1.12073159142
sombre,1.08098990702,1.16383757517,1.24349840503,1.13488258082
drab,1.34806639906,1.35738356697,1.39457015307,1.37251451539
drear,1.47093594762,1.4409412526,1.54786225711,1.39404284488
gloom,1.15031345997,1.05847428027,1.31174604309,1.12714044354
unclean,1.33958215377,1.2074950564,1.39187752497,1.44213665396
sorry,1.24092837379,1.18632825625,1.45290972819,1.18663229019
melancholy,1.01718648013,1.02751636836,1.17748529799,1.06715966157
gloomily,1.31251863305,1.33418764227,1.43704785527,1.34935575653
grim,1.23346024426,1.09020242883,1.34038762596,1.20345871823
dreary,1.15049961843,1.07050678134,1.19110214393,1.14747801868
depressing,1.02950117676,0.959401020103,1.14081090805,1.01293772343
dark,1.36532120369,1.34373787206,1.45588208097,1.34132509897
abhorrence,1.15658106008,1.09683979121,1.19558954812,1.27528250128
abhor,1.26528932076,1.18332376475,1.39120960886,1.32275352916
misogyny,1.32225742141,1.09890077402,1.24816258476,1.36481137669
amok,1.45706839322,1.30324607058,1.47316443463,1.35524289864
malevolence,1.16086940562,1.02877065802,1.23260544881,1.19069819967
malevolently,1.4978222456,1.3461785323,1.46159395759,1.51248874344
misanthropy,1.22987489568,1.07571236031,1.22363809434,1.32715600223
misanthropic,1.06861125984,1.01806481485,1.09726565759,1.15196121111
belligerent,1.37251668662,1.2197460771,1.28940518623,1.45769079394
belligerently,1.31466560913,1.2664575525,1.4416645428,1.32764630052
antagonistic,1.2046590826,1.12259382595,1.1304017997,1.39374765139
dirty,1.42732397418,1.28513345158,1.52045333724,1.37249087682
aggressive,1.19874036899,1.12576308762,1.18650616717,1.3166890367
opposing,1.4442772098,1.31964892117,1.32000760098,1.50574897142
opponent,1.50213328038,1.38584221088,1.38743816471,1.49604356608
hostility,1.2778845538,1.0712189417,1.09528915639,1.36983414341
inimical,1.196980107,1.18396682608,1.2879629587,1.32525434682
contempt,1.15516745975,1.02125448312,1.17408067901,1.25922580861
unfriendliness,1.46063882458,1.39383121796,1.39416870936,1.50295904467
hostile,1.22994370004,1.0498659076,1.12525760508,1.28727610642
chilly,1.24345563491,1.30456428296,1.37004230984,1.3099507674
unfriendly,1.11592507233,1.02293316858,1.05414110647,1.18922366463
scowling,1.2135141099,1.21904445966,1.36050376401,1.24121899185
disgusted,1.05472274945,0.768278972005,1.12532594388,1.02669097831
displeased,1.13309194557,1.04609209158,1.29741461021,1.13786833873
disgusting,1.099790286,0.907334730139,1.19995623181,1.01300042292
disgustedly,1.45788446981,1.33706775773,1.45912091617,1.42346128039
disgustingly,1.3857296619,1.36408255933,1.47276024956,1.34663646423
