word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
apprehensive,1.18956145316,1.0939154728,1.2325889073,1.20915502428,12.1035008127
dissuasive,1.56153563079,1.42880647554,1.36607203994,1.5701524529,1.35194055114
hateful,1.28176319765,1.06606930439,1.37534148271,1.24312241878,11.1225899608
blue,1.54976190567,1.65607303587,1.66336073612,1.57146189078,30.9368694151
disheartening,1.29263563854,1.29495997016,1.47823016226,1.19612957839,2.96531134383
nausea,1.35399653738,1.23436912874,1.30015419885,1.30408800061,25.6598709485
malefic,1.42089995317,1.43380754281,1.46447043917,1.46049778137,2.03710033986
demoralising,1.39988829806,1.26685621992,1.36333746485,1.38777993788,3.02026403045
abominable,1.2686367649,1.16247989344,1.42877087548,1.18293740511,12.2976224905
somber,1.01702550158,1.09333401197,1.19078201634,1.07871694309,12.7561778626
disgust,1.08604465131,0.831072573556,1.08022503324,1.05961810852,22.0150254645
insecurity,1.21681544691,1.02272354688,1.10531163551,1.29660495822,18.9628417176
disconcerting,1.07150028891,1.11442067972,1.19836353769,1.01470587608,5.83891468854
disapproval,1.20270270346,1.0832882317,1.13819615804,1.30714917881,26.6027233437
alarming,1.27066728805,1.1120099083,1.20969763478,1.14553708638,16.0838273786
chagrin,1.32423490005,1.2635421736,1.3822071294,1.3221231607,19.5219634741
angry,1.13349426406,0.847204324963,1.21594530576,1.04140280719,32.4033642161
dejected,1.15466591192,1.08159034532,1.31409946313,1.12073159142,6.47567978543
disorienting,1.2835915416,1.22349299204,1.29688922999,1.19041302332,5.01698659267
hostility,1.2778845538,1.0712189417,1.09528915639,1.36983414341,32.6168935658
resignedly,1.34938131973,1.39551792397,1.45737981744,1.39456812324,1.74803402092
shy,1.04486417555,1.08097795937,1.14112802889,1.10160465016,28.0764526482
lividity,1.59453758481,1.51510724075,1.58248096637,1.53970772969,1.5432232436
melancholic,0.989213049881,1.01302476509,1.12494649431,1.08941397271,12.6056279965
unoriented,1.59730316614,1.6291723325,1.52411876526,1.60367161367,3.41549528147
covet,1.40255474388,1.37500859009,1.48954864574,1.46566058189,3.7039464071
impressive,1.23520936323,1.42313712306,1.40886212504,1.15420592253,31.75632977
discourage,1.47052237143,1.35078640282,1.29645442032,1.57956210951,26.4123781929
indignantly,1.3845376968,1.19632027161,1.35062392055,1.33924033807,4.28429010417
wistful,1.15824459322,1.29399728385,1.37065084765,1.23468866883,6.84597665702
agoraphobic,1.31327568248,1.15769563649,1.29216254207,1.33189879345,3.84150478325
protective,1.44292571017,1.40523067366,1.44905742408,1.58523996687,29.9399014972
mercifully,1.32077285624,1.22199355821,1.39561938314,1.3237131814,2.9915857156
shadow,1.49524125993,1.43138038611,1.5159938802,1.41729278451,28.7248434346
disorganized,1.36139248717,1.12856898357,1.20072537213,1.2983470821,14.5910729915
gloom,1.15031345997,1.05847428027,1.31174604309,1.12714044354,12.2145775059
repentance,1.23899576358,1.23858726023,1.34280632181,1.45427869007,23.8750395446
demoralizing,1.32383222895,1.14925598649,1.35868221031,1.26204179675,5.15269130417
shyly,1.29489084525,1.37501503288,1.46692463126,1.33278938698,2.15979876098
anxiousness,1.41094028307,1.36187771557,1.38571553085,1.41128216083,1.20804091709
bleak,1.13805236419,1.08949797225,1.21877699661,1.17783453755,21.6558710122
helpless,1.17618039691,0.872252363032,1.20920556069,1.13472822836,18.5485416238
